feature,importance
Y_ma_10,0.1237122294508831
spread_diff_1d,0.061727773927183836
spread_macd,0.05150709451492014
soybean_port_inventory_ma20,0.04922438963114676
palm_oil_port_inventory,0.046106524233692714
Y_ma_50,0.04525477459259061
spread_max_10,0.035301422709504635
P_ma_20,0.03529260383894121
spread_ema_26,0.03219706662408051
P_volume_ma_20,0.03214063912663078
Y_volume_ma_20,0.0292192968990452
P_ma_50,0.028522099895644654
spread_std_60,0.024113409550137337
spread_ma_60,0.02396095771572004
P_MACD_signal,0.0236228663391406
spread,0.023181561016168094
spread_diff_5d,0.020860565644444346
spread_max_5,0.019553418029848654
soybean_port_inventory,0.016955951351922422
Y_MACD_signal,0.015832768959684093
Y_ma_20,0.015172991215050982
spread_diff_20d,0.014719362010983452
spread_std,0.014375026818334212
spread_std_10,0.014113921613041336
distance_to_low,0.013731909714888843
spread_std_20,0.013095317830528681
spread_min_60,0.012943225124171683
spread_std_5,0.01053074862635134
Y_MACD_hist,0.010059412188301694
spread_diff_10d,0.010034051025112723
P_MACD,0.009824957972514009
spread_ema_12,0.009585881851754376
spread_ma_10,0.00933361719540005
spread_min,0.009251261550096033
distance_to_high,0.008999485480389072
spread_ma_20,0.008080922175052437
spread_max_60,0.007765175236353131
Y_ma_5,0.0076183955705858624
P_MACD_hist,0.007418406905884534
spread_percentile,0.0070613949732802415
spread_mean,0.006769461415079467
Y_MACD,0.0065194491585895365
P_ma_10,0.00636832919860505
spread_ma_5,0.006229291761505034
spread_min_10,0.0048203478417353065
spread_max,0.004463110515034165
spread_min_20,0.004043295367083532
spread_min_5,0.0037685964995551394
P_ma_5,0.0029144833481374024
spread_max_20,0.0021007557652709644
