指标名称,仓单数量:焦炭,仓单数量:焦煤,港口库存:环渤海港,港口铁路调入量:环渤海港
2002-01-23,,,244.50 ,
2002-02-07,,,0.00 ,
2002-03-20,,,316.00 ,
2002-03-27,,,340.30 ,
2002-04-24,,,330.50 ,
2002-05-08,,,336.00 ,
2002-05-29,,,329.30 ,
2002-06-05,,,298.30 ,
2002-06-19,,,332.70 ,
2002-07-03,,,321.10 ,
2002-07-10,,,339.20 ,
2002-07-17,,,357.10 ,
2002-07-25,,,313.80 ,
2002-08-07,,,281.60 ,
2002-08-14,,,255.60 ,
2002-08-21,,,286.30 ,
2002-09-05,,,266.60 ,
2002-09-11,,,273.80 ,
2002-09-18,,,285.50 ,
2002-09-25,,,277.40 ,
2002-10-23,,,276.40 ,
2002-11-06,,,258.70 ,
2002-11-20,,,256.50 ,
2002-11-27,,,245.80 ,
2002-12-04,,,251.90 ,
2002-12-18,,,278.50 ,
2003-01-02,,,245.30 ,
2003-01-08,,,253.60 ,
2003-01-15,,,248.00 ,
2003-02-12,,,296.10 ,
2003-02-19,,,284.90 ,
2003-02-26,,,290.70 ,
2003-03-12,,,309.80 ,
2003-03-19,,,306.80 ,
2003-03-26,,,353.20 ,
2003-04-02,,,328.00 ,
2003-04-09,,,310.80 ,
2003-04-16,,,324.40 ,
2003-05-07,,,345.30 ,
2003-05-14,,,353.10 ,
2003-05-21,,,388.20 ,
2003-06-04,,,388.20 ,
2003-07-02,,,321.50 ,
2003-07-09,,,341.80 ,
2003-08-13,,,307.60 ,
2003-08-21,,,271.30 ,
2003-09-24,,,272.90 ,
2003-10-09,,,253.10 ,
2003-10-30,,,277.00 ,
2003-11-04,,,266.50 ,
2003-11-11,,,260.70 ,
2003-11-26,,,226.40 ,
2003-12-02,,,219.20 ,
2003-12-17,,,206.60 ,
2003-12-23,,,227.90 ,
2004-01-05,,,277.50 ,
2004-01-29,,,273.80 ,
2004-02-08,,,255.70 ,
2004-02-11,,,266.60 ,
2004-02-19,,,274.30 ,
2004-02-26,,,276.90 ,
2004-03-03,,,273.70 ,
2004-03-10,,,282.70 ,
2004-03-18,,,267.60 ,
2004-03-24,,,265.60 ,
2004-03-31,,,255.80 ,
2004-04-06,,,223.20 ,
2004-04-14,,,204.90 ,
2004-04-26,,,214.30 ,
2004-05-18,,,275.30 ,
2004-05-26,,,288.80 ,
2004-06-02,,,284.30 ,
2004-06-15,,,289.50 ,
2004-06-23,,,295.30 ,
2004-06-29,,,291.80 ,
2004-07-07,,,279.30 ,
2004-07-14,,,260.20 ,
2004-07-27,,,272.00 ,
2004-08-04,,,279.70 ,
2004-08-10,,,278.50 ,
2004-08-17,,,248.80 ,
2004-08-31,,,253.40 ,
2004-09-08,,,281.60 ,
2004-09-15,,,306.00 ,
2004-09-22,,,305.20 ,
2004-09-29,,,271.20 ,
2004-10-08,,,283.70 ,
2004-10-12,,,282.10 ,
2004-10-20,,,263.50 ,
2004-11-10,,,247.50 ,
2004-11-24,,,255.40 ,
2004-12-01,,,266.50 ,
2004-12-08,,,224.60 ,
2004-12-22,,,207.50 ,
2005-01-13,,,294.10 ,
2005-01-19,,,287.90 ,
2005-02-17,,,407.90 ,
2005-02-23,,,409.30 ,
2005-03-01,,,368.30 ,
2005-03-07,,,407.20 ,
2005-03-16,,,422.80 ,
2005-03-23,,,417.20 ,
2005-03-29,,,400.80 ,
2005-04-06,,,382.00 ,
2005-04-13,,,343.60 ,
2005-04-19,,,302.70 ,
2005-04-27,,,298.10 ,
2005-05-07,,,306.90 ,
2005-05-18,,,363.60 ,
2005-05-25,,,421.80 ,
2005-05-31,,,407.20 ,
2005-06-09,,,404.00 ,
2005-06-15,,,410.70 ,
2005-06-21,,,382.40 ,
2005-06-28,,,375.40 ,
2005-07-06,,,402.80 ,
2005-07-12,,,395.10 ,
2005-07-20,,,385.60 ,
2005-07-26,,,404.30 ,
2005-08-02,,,419.00 ,
2005-08-09,,,440.70 ,
2005-08-17,,,446.10 ,
2005-08-23,,,400.00 ,
2005-08-31,,,330.80 ,
2005-09-07,,,274.10 ,
2005-09-15,,,292.50 ,
2005-09-21,,,357.60 ,
2005-09-27,,,389.10 ,
2005-10-06,,,401.20 ,
2005-10-13,,,415.20 ,
2005-10-26,,,423.90 ,
2005-11-02,,,424.70 ,
2005-11-09,,,477.70 ,
2005-11-17,,,439.20 ,
2005-11-24,,,431.60 ,
2005-11-30,,,403.60 ,
2005-12-06,,,418.30 ,
2005-12-15,,,405.90 ,
2005-12-20,,,405.30 ,
2005-12-27,,,382.60 ,
2006-01-03,,,382.60 ,
2006-01-13,,,317.90 ,
2006-01-25,,,308.10 ,
2006-02-25,,,373.10 ,
2006-02-28,,,402.50 ,
2006-03-04,,,400.90 ,
2006-03-11,,,376.10 ,
2006-03-18,,,362.50 ,
2006-03-25,,,355.00 ,
2006-04-01,,,357.00 ,
2006-04-08,,,378.10 ,
2006-04-15,,,365.00 ,
2006-04-22,,,388.40 ,
2006-05-13,,,486.50 ,
2006-05-20,,,485.80 ,
2006-05-27,,,506.80 ,
2006-06-03,,,538.80 ,
2006-06-10,,,576.60 ,
2006-06-17,,,597.10 ,
2006-06-24,,,593.70 ,
2006-07-01,,,576.00 ,
2006-07-08,,,572.40 ,
2006-07-15,,,538.80 ,
2006-07-22,,,490.60 ,
2006-07-29,,,439.00 ,
2006-08-05,,,432.30 ,
2006-08-12,,,407.30 ,
2006-08-19,,,382.10 ,
2006-08-26,,,375.80 ,
2006-09-02,,,430.80 ,
2006-09-09,,,458.00 ,
2006-09-16,,,457.60 ,
2006-09-23,,,447.30 ,
2006-10-07,,,446.30 ,
2006-10-14,,,410.60 ,
2006-10-21,,,435.10 ,
2006-10-28,,,422.00 ,
2006-11-04,,,414.80 ,
2006-11-11,,,435.50 ,
2006-11-18,,,404.00 ,
2006-11-25,,,430.80 ,
2006-12-03,,,423.90 ,
2006-12-10,,,414.60 ,
2006-12-16,,,425.10 ,
2006-12-24,,,440.60 ,
2007-01-07,,,452.20 ,
2007-01-14,,,453.90 ,
2007-01-21,,,487.20 ,
2007-01-28,,,469.40 ,
2007-02-04,,,465.00 ,
2007-02-17,,,502.60 ,
2007-02-25,,,615.30 ,
2007-03-03,,,568.00 ,
2007-03-11,,,588.50 ,
2007-03-18,,,582.60 ,
2007-03-25,,,611.10 ,
2007-04-01,,,641.80 ,
2007-04-08,,,648.70 ,
2007-04-15,,,659.40 ,
2007-04-22,,,672.10 ,
2007-04-28,,,706.10 ,
2007-05-06,,,677.70 ,
2007-05-13,,,612.80 ,
2007-05-20,,,601.20 ,
2007-05-27,,,547.90 ,
2007-06-03,,,518.10 ,
2007-06-10,,,515.40 ,
2007-06-17,,,465.50 ,
2007-06-24,,,458.30 ,
2007-07-01,,,472.20 ,
2007-07-08,,,495.50 ,
2007-07-15,,,514.80 ,
2007-07-22,,,517.70 ,
2007-07-29,,,503.00 ,
2007-08-05,,,433.90 ,
2007-08-12,,,447.10 ,
2007-08-19,,,444.60 ,
2007-08-26,,,436.60 ,
2007-09-02,,,427.00 ,
2007-09-09,,,421.50 ,
2007-09-16,,,430.00 ,
2007-09-23,,,456.30 ,
2007-10-07,,,524.70 ,
2007-10-14,,,528.50 ,
2007-10-19,,,544.40 ,
2007-10-26,,,624.30 ,
2007-11-04,,,638.30 ,
2007-11-11,,,603.60 ,
2007-11-18,,,632.40 ,
2007-11-25,,,624.70 ,
2007-12-02,,,624.80 ,
2007-12-09,,,597.80 ,
2007-12-16,,,577.40 ,
2007-12-23,,,524.60 ,
2008-01-02,,,510.20 ,
2008-01-06,,,534.50 ,
2008-01-13,,,569.30 ,
2008-01-20,,,543.90 ,
2008-01-27,,,494.00 ,
2008-02-03,,,481.90 ,
2008-02-17,,,502.60 ,
2008-02-24,,,535.00 ,
2008-03-02,,,596.10 ,
2008-03-09,,,674.80 ,
2008-03-16,,,773.40 ,
2008-03-23,,,734.30 ,
2008-03-29,,,642.10 ,
2008-04-01,,,684.55 ,
2008-04-02,,,692.44 ,
2008-04-06,,,711.59 ,
2008-04-07,,,729.32 ,
2008-04-08,,,788.38 ,
2008-04-09,,,788.82 ,
2008-04-10,,,777.48 ,
2008-04-13,,,750.98 ,
2008-04-14,,,747.74 ,
2008-04-15,,,747.35 ,
2008-04-16,,,738.98 ,
2008-04-17,,,719.28 ,
2008-04-18,,,669.87 ,
2008-04-19,,,653.88 ,
2008-04-20,,,647.01 ,
2008-04-21,,,630.57 ,
2008-04-22,,,632.93 ,
2008-04-23,,,622.16 ,
2008-04-24,,,624.58 ,
2008-04-25,,,626.00 ,
2008-04-26,,,626.59 ,
2008-04-27,,,621.82 ,
2008-04-28,,,613.75 ,
2008-04-29,,,638.77 ,
2008-04-30,,,631.50 ,
2008-05-01,,,654.55 ,
2008-05-02,,,665.26 ,
2008-05-03,,,681.73 ,
2008-05-04,,,659.94 ,
2008-05-05,,,640.55 ,
2008-05-06,,,660.19 ,
2008-05-07,,,532.24 ,
2008-05-08,,,640.99 ,
2008-05-10,,,624.84 ,
2008-05-11,,,632.37 ,
2008-05-12,,,641.78 ,
2008-05-13,,,644.41 ,
2008-05-14,,,639.52 ,
2008-05-15,,,634.98 ,
2008-05-17,,,652.06 ,
2008-05-19,,,654.31 ,
2008-05-20,,,634.98 ,
2008-05-21,,,677.36 ,
2008-05-22,,,673.26 ,
2008-05-23,,,659.09 ,
2008-05-24,,,660.58 ,
2008-05-25,,,678.95 ,
2008-05-26,,,674.88 ,
2008-05-27,,,665.85 ,
2008-05-28,,,674.15 ,
2008-05-29,,,665.19 ,
2008-05-30,,,658.71 ,
2008-05-31,,,656.41 ,
2008-06-01,,,534.21 ,
2008-06-02,,,660.05 ,
2008-06-03,,,661.84 ,
2008-06-04,,,654.23 ,
2008-06-05,,,653.53 ,
2008-06-06,,,647.51 ,
2008-06-07,,,658.02 ,
2008-06-08,,,663.62 ,
2008-06-09,,,661.46 ,
2008-06-10,,,769.09 ,
2008-06-11,,,636.91 ,
2008-06-12,,,636.91 ,
2008-06-13,,,627.93 ,
2008-06-14,,,618.50 ,
2008-06-15,,,611.57 ,
2008-06-16,,,592.53 ,
2008-06-17,,,583.96 ,
2008-06-18,,,456.65 ,
2008-06-19,,,585.30 ,
2008-06-20,,,586.54 ,
2008-06-21,,,579.96 ,
2008-06-22,,,574.63 ,
2008-06-23,,,573.00 ,
2008-06-24,,,585.08 ,
2008-06-25,,,590.43 ,
2008-06-26,,,594.87 ,
2008-06-27,,,591.45 ,
2008-06-28,,,589.09 ,
2008-06-29,,,593.65 ,
2008-06-30,,,581.63 ,
2008-07-01,,,582.78 ,
2008-07-02,,,575.97 ,
2008-07-03,,,556.28 ,
2008-07-04,,,534.79 ,
2008-07-05,,,575.70 ,
2008-07-06,,,578.80 ,
2008-07-07,,,570.97 ,
2008-07-08,,,562.04 ,
2008-07-09,,,563.19 ,
2008-07-10,,,560.64 ,
2008-07-11,,,561.62 ,
2008-07-12,,,568.65 ,
2008-07-14,,,563.46 ,
2008-07-15,,,566.39 ,
2008-07-16,,,566.39 ,
2008-07-17,,,594.94 ,
2008-07-18,,,597.56 ,
2008-07-19,,,596.62 ,
2008-07-20,,,596.95 ,
2008-07-21,,,596.19 ,
2008-07-22,,,588.89 ,
2008-07-23,,,599.16 ,
2008-07-24,,,657.38 ,
2008-07-25,,,654.38 ,
2008-07-26,,,645.35 ,
2008-07-27,,,652.20 ,
2008-07-28,,,653.65 ,
2008-07-29,,,649.22 ,
2008-07-30,,,652.97 ,
2008-07-31,,,660.27 ,
2008-08-01,,,682.50 ,
2008-08-02,,,677.88 ,
2008-08-03,,,678.43 ,
2008-08-04,,,674.14 ,
2008-08-05,,,685.17 ,
2008-08-06,,,683.99 ,
2008-08-07,,,687.31 ,
2008-08-08,,,680.75 ,
2008-08-09,,,678.59 ,
2008-08-10,,,688.38 ,
2008-08-11,,,688.38 ,
2008-08-12,,,692.86 ,
2008-08-13,,,703.79 ,
2008-08-14,,,708.28 ,
2008-08-15,,,719.72 ,
2008-08-16,,,705.75 ,
2008-08-17,,,696.54 ,
2008-08-18,,,704.90 ,
2008-08-19,,,709.13 ,
2008-08-20,,,708.23 ,
2008-08-21,,,712.34 ,
2008-08-22,,,716.74 ,
2008-08-23,,,829.00 ,
2008-08-24,,,726.20 ,
2008-08-25,,,723.12 ,
2008-08-26,,,729.62 ,
2008-08-27,,,737.28 ,
2008-08-28,,,748.94 ,
2008-08-29,,,757.94 ,
2008-08-30,,,766.67 ,
2008-08-31,,,769.51 ,
2008-09-01,,,783.11 ,73.00 
2008-09-02,,,796.72 ,72.60 
2008-09-03,,,801.53 ,68.10 
2008-09-04,,,801.54 ,69.20 
2008-09-05,,,822.71 ,
2008-09-06,,,822.47 ,
2008-09-07,,,818.78 ,66.20 
2008-09-08,,,815.08 ,
2008-09-09,,,810.21 ,
2008-09-10,,,830.65 ,
2008-09-11,,,831.81 ,
