指标名称,大豆港口库存:合计,豆油港口库存:全国
2025-11-03,817.41 ,
2025-10-31,840.22 ,
2025-10-30,834.96 ,
2025-10-29,830.19 ,
2025-10-28,824.29 ,123.40 
2025-10-27,814.02 ,
2025-10-24,811.27 ,
2025-10-23,773.35 ,
2025-10-22,751.42 ,
2025-10-21,729.97 ,120.50 
2025-10-20,696.25 ,
2025-10-17,718.82 ,123.60 
2025-10-16,703.98 ,
2025-10-15,650.25 ,
2025-10-14,654.71 ,123.60 
2025-10-13,664.90 ,
2025-10-11,657.97 ,
2025-10-10,654.55 ,
2025-10-09,660.94 ,
2025-09-30,654.36 ,122.00 
2025-09-29,661.98 ,
2025-09-28,664.70 ,
2025-09-26,671.85 ,
2025-09-25,664.36 ,
2025-09-24,656.88 ,
2025-09-23,650.24 ,122.70 
2025-09-22,656.10 ,
2025-09-19,662.70 ,
2025-09-18,662.23 ,
2025-09-17,660.40 ,
2025-09-16,665.84 ,120.30 
2025-09-15,670.44 ,
2025-09-12,663.56 ,
2025-09-11,670.52 ,
2025-09-10,676.92 ,
2025-09-09,670.73 ,120.10 
2025-09-08,663.57 ,
2025-09-05,677.85 ,
2025-09-04,679.03 ,
2025-09-03,684.20 ,
2025-09-02,681.04 ,118.10 
2025-09-01,674.30 ,
2025-08-29,685.46 ,
2025-08-28,683.88 ,
2025-08-27,680.61 ,
2025-08-26,678.48 ,114.00 
2025-08-25,671.02 ,
2025-08-22,682.44 ,
2025-08-21,688.32 ,
2025-08-20,687.21 ,
2025-08-19,683.49 ,109.90 
2025-08-18,675.87 ,
2025-08-15,683.27 ,
2025-08-14,673.55 ,
2025-08-13,685.13 ,
2025-08-12,682.83 ,106.80 
2025-08-11,684.11 ,
2025-08-08,684.35 ,
2025-08-07,673.20 ,
2025-08-06,676.62 ,
2025-08-05,677.39 ,105.50 
2025-08-04,691.17 ,
2025-08-01,685.61 ,
2025-07-31,683.93 ,
2025-07-30,684.43 ,
2025-07-29,679.89 ,101.20 
2025-07-28,675.19 ,
2025-07-25,677.93 ,
2025-07-24,675.67 ,
2025-07-23,684.18 ,
2025-07-22,674.53 ,98.40 
2025-07-21,665.97 ,
2025-07-18,667.62 ,
2025-07-17,663.16 ,
2025-07-16,673.83 ,
2025-07-15,654.25 ,93.20 
2025-07-14,646.28 ,
2025-07-11,652.15 ,
2025-07-10,647.54 ,
2025-07-09,645.33 ,
2025-07-08,642.24 ,90.80 
2025-07-07,636.37 ,
2025-07-04,643.88 ,
2025-07-03,628.00 ,
2025-07-02,626.86 ,
2025-07-01,617.44 ,85.70 
2025-06-30,609.93 ,
2025-06-27,611.19 ,
2025-06-26,600.47 ,
2025-06-25,596.32 ,
2025-06-24,594.86 ,80.50 
2025-06-23,588.75 ,
2025-06-20,597.69 ,
2025-06-19,600.60 ,
2025-06-18,592.77 ,
2025-06-17,594.33 ,78.00 
2025-06-16,590.59 ,
2025-06-13,598.81 ,
2025-06-12,595.04 ,
2025-06-11,593.71 ,
2025-06-10,599.39 ,76.50 
2025-06-09,595.68 ,
2025-06-06,591.08 ,
2025-06-05,589.50 ,
2025-06-04,584.20 ,
2025-06-03,574.08 ,71.40 
2025-05-30,569.53 ,
2025-05-29,553.47 ,
2025-05-28,558.05 ,
2025-05-27,563.68 ,66.70 
2025-05-26,567.07 ,
2025-05-23,586.27 ,
2025-05-22,573.14 ,
