时间,棕榈油港口库存:合计（万吨）
2013.05.14,148.6
2013.05.15,148.6
2013.05.16,148.6
2013.05.19,141.9
2013.05.20,141.9
2013.05.21,141.9
2013.05.22,141.9
2013.05.23,141.9
2013.05.26,146.5
2013.05.27,146.5
2013.05.28,146.5
2013.05.29,146.5
2013.05.30,146.5
2013.05.31,146.5
2013.06.02,136
2013.06.03,136
2013.06.04,136
2013.06.05,136
2013.06.06,136
2013.06.07,136
2013.06.08,136
2013.06.09,136
2013.06.12,136
2013.06.13,136
2013.06.14,136
2013.06.16,125.3
2013.06.17,125.3
2013.06.18,125.3
2013.06.19,125.3
2013.06.20,125.3
2013.06.21,125.3
2013.06.23,128.39
2013.06.24,128.39
2013.06.25,128.39
2013.06.26,128.39
2013.06.27,128.39
2013.06.28,128.39
2013.07.01,124.37
2013.07.02,124.37
2013.07.03,124.37
2013.07.04,124.37
2013.07.05,124.37
2013.07.07,123.5
2013.07.08,123.5
2013.07.09,123.5
2013.07.10,123.5
2013.07.11,123.5
2013.07.12,123.5
2013.07.14,125.5
2013.07.15,125.5
2013.07.16,125.5
2013.07.17,125.5
2013.07.18,125.5
2013.07.19,125.5
2013.07.21,126.8
2013.07.22,126.8
2013.07.23,126.8
2013.07.24,126.8
2013.07.25,126.8
2013.07.26,126.8
2013.07.28,129.08
2013.07.29,129.08
2013.07.30,129.08
2013.07.31,129.08
2013.08.01,129.08
2013.08.02,129.08
2013.08.04,127.79
2013.08.05,127.79
2013.08.06,127.79
2013.08.07,127.79
2013.08.08,127.79
2013.08.09,127.79
2013.08.11,126.14
2013.08.12,126.14
2013.08.13,126.14
2013.08.14,126.14
2013.08.15,126.14
2013.08.16,126.14
2013.08.18,129.5
2013.08.19,129.5
2013.08.20,129.5
2013.08.21,129.5
2013.08.22,129.5
2013.08.23,129.5
2013.08.25,120.9
2013.08.26,120.9
2013.08.27,120.9
2013.08.28,120.9
2013.08.29,120.9
2013.08.30,120.9
2013.09.01,113.52
2013.09.02,113.52
2013.09.03,113.52
2013.09.04,113.52
2013.09.05,113.52
2013.09.06,113.52
2013.09.08,110.52
2013.09.09,110.52
2013.09.10,110.52
2013.09.12,110.52
2013.09.13,110.52
2013.09.15,103.81
2013.09.16,103.81
2013.09.17,103.81
2013.09.18,103.81
2013.09.21,103.81
2013.09.22,106.55
2013.09.23,106.55
2013.09.24,106.55
2013.09.25,106.55
2013.09.26,106.55
2013.09.27,106.55
2013.09.28,106.55
2013.09.29,106.55
2013.09.30,106.55
