mm,dd,unit,price,yyyy,prod_spec,region,prod_name,date,price_numeric
10,30,元/吨,8651.13,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-30,8651.13
10,29,元/吨,8661.13,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-29,8661.13
10,28,元/吨,8831.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-28,8831.11
10,27,元/吨,8975.10,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-27,8975.1
10,24,元/吨,9035.09,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-24,9035.09
10,23,元/吨,9053.09,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-23,9053.09
10,22,元/吨,9401.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-22,9401.05
10,21,元/吨,9119.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-21,9119.08
10,20,元/吨,9119.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-20,9119.08
10,17,元/吨,9119.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-17,9119.08
10,16,元/吨,9119.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-16,9119.08
10,15,元/吨,9119.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-15,9119.08
10,14,元/吨,9183.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-14,9183.08
10,13,元/吨,9213.07,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-13,9213.07
10,10,元/吨,9415.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-10,9415.05
10,09,元/吨,9421.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-09,9421.05
10,08,元/吨,9421.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-08,9421.05
10,07,元/吨,9421.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-07,9421.05
10,06,元/吨,9421.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-06,9421.05
10,03,元/吨,9421.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-03,9421.05
10,02,元/吨,9421.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-02,9421.05
10,01,元/吨,9421.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-10-01,9421.05
09,30,元/吨,9057.09,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-30,9057.09
09,29,元/吨,9101.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-29,9101.08
09,26,元/吨,9125.08,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-26,9125.08
09,25,元/吨,9071.09,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-25,9071.09
09,24,元/吨,8903.10,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-24,8903.1
09,23,元/吨,8947.10,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-23,8947.1
09,22,元/吨,9243.07,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-22,9243.07
09,19,元/吨,9241.07,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-19,9241.07
09,18,元/吨,9253.07,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-18,9253.07
09,17,元/吨,9407.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-17,9407.05
09,16,元/吨,9405.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-16,9405.05
09,15,元/吨,9309.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-15,9309.06
09,12,元/吨,9383.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-12,9383.06
09,11,元/吨,9445.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-11,9445.05
09,10,元/吨,9445.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-10,9445.05
09,09,元/吨,9477.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-09,9477.05
09,08,元/吨,9319.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-08,9319.06
09,05,元/吨,9353.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-05,9353.06
09,04,元/吨,9351.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-04,9351.06
09,03,元/吨,9395.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-03,9395.06
09,02,元/吨,9407.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-02,9407.05
09,01,元/吨,9313.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-09-01,9313.06
08,29,元/吨,9309.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-29,9309.06
08,28,元/吨,9387.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-28,9387.06
08,27,元/吨,9431.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-27,9431.05
08,26,元/吨,9459.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-26,9459.05
08,25,元/吨,9529.04,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-25,9529.04
08,22,元/吨,9471.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-22,9471.05
08,21,元/吨,9481.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-21,9481.05
08,20,元/吨,9463.05,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-20,9463.05
08,19,元/吨,9615.03,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-19,9615.03
08,18,元/吨,9551.04,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-18,9551.04
08,15,元/吨,9329.06,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-15,9329.06
08,14,元/吨,8889.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-14,8889.11
08,13,元/吨,8801.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-13,8801.11
08,12,元/吨,8801.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-12,8801.11
08,11,元/吨,8801.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-11,8801.11
08,08,元/吨,8807.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-08,8807.11
08,07,元/吨,8807.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-07,8807.11
08,06,元/吨,8807.11,2025,大连商品交易所最近合约收盘价,国内,棕榈油(大连期结算),2025-08-06,8807.11
