date,price
2020-01-02,6482.0
2020-01-03,6444.0
2020-01-06,6418.0
2020-01-07,6418.0
2020-01-08,6344.0
2020-01-09,6426.0
2020-01-10,6518.0
2020-01-13,6576.0
2020-01-14,6506.0
2020-01-15,6540.0
2020-01-16,6524.0
2020-01-17,6496.0
2020-01-20,6498.0
2020-01-21,6504.0
2020-01-22,6534.0
2020-01-23,6650.0
2020-01-24,6650.0
2020-01-27,6650.0
2020-01-28,6650.0
2020-01-29,6650.0
2020-01-30,6650.0
2020-01-31,6650.0
2020-02-03,6188.0
2020-02-04,5896.0
2020-02-05,6168.0
2020-02-06,6168.0
2020-02-07,6168.0
2020-02-10,6168.0
2020-02-11,6168.0
2020-02-12,6168.0
2020-02-13,6168.0
2020-02-14,5888.0
2020-02-17,5914.0
2020-02-18,5798.0
2020-02-19,5574.0
2020-02-20,5488.0
2020-02-21,5498.0
2020-02-24,5464.0
2020-02-25,5368.0
2020-02-26,5286.0
2020-02-27,5294.0
2020-02-28,5060.0
2020-03-02,5060.0
2020-03-03,5060.0
2020-03-04,4758.0
2020-03-05,5042.0
2020-03-06,5042.0
2020-03-09,4764.0
2020-03-10,4764.0
2020-03-11,4764.0
2020-03-12,4764.0
2020-03-13,4782.0
2020-03-16,4766.0
2020-03-17,4680.0
2020-03-18,4864.0
2020-03-19,4998.0
2020-03-20,4826.0
2020-03-23,4732.0
2020-03-24,4732.0
2020-03-25,4740.0
2020-03-26,4740.0
2020-03-27,4598.0
2020-03-30,4598.0
2020-03-31,4598.0
2020-04-01,4598.0
2020-04-02,4598.0
2020-04-03,4598.0
2020-04-06,4598.0
2020-04-07,4598.0
2020-04-08,4598.0
2020-04-09,4598.0
2020-04-10,4598.0
2020-04-13,4598.0
2020-04-14,4598.0
2020-04-15,4870.0
2020-04-16,4882.0
2020-04-17,4834.0
2020-04-20,4914.0
2020-04-21,4752.0
2020-04-22,4682.0
2020-04-23,4672.0
2020-04-24,4698.0
2020-04-27,4578.0
2020-04-28,4552.0
2020-04-29,4546.0
2020-04-30,4510.0
2020-05-01,4510.0
2020-05-04,4510.0
2020-05-05,4510.0
2020-05-06,4430.0
2020-05-07,4414.0
2020-05-08,4464.0
2020-05-11,4530.0
2020-05-12,4406.0
2020-05-13,4398.0
2020-05-14,4402.0
2020-05-15,4536.0
2020-05-18,4616.0
2020-05-19,4740.0
2020-05-20,4718.0
2020-05-21,4668.0
2020-05-22,4684.0
2020-05-25,4700.0
2020-05-26,4762.0
2020-05-27,4770.0
2020-05-28,4770.0
2020-05-29,4770.0
2020-06-01,4770.0
2020-06-02,4770.0
2020-06-03,4770.0
2020-06-04,4770.0
2020-06-05,4770.0
2020-06-08,4770.0
2020-06-09,4770.0
2020-06-11,4770.0
2020-06-12,4928.0
2020-06-15,4928.0
2020-06-16,5154.0
2020-06-17,5154.0
2020-06-18,5154.0
2020-06-19,5264.0
2020-06-22,5202.0
2020-06-23,5150.0
2020-06-24,5184.0
2020-06-25,5184.0
2020-06-26,5184.0
2020-06-29,5162.0
2020-06-30,5162.0
2020-07-01,5162.0
2020-07-02,5162.0
2020-07-03,5162.0
2020-07-06,5162.0
2020-07-07,5162.0
2020-07-08,5162.0
2020-07-09,5162.0
2020-07-10,5162.0
2020-07-13,5162.0
2020-07-14,5274.0
2020-07-15,5584.0
2020-07-16,5620.0
2020-07-17,5840.0
2020-07-20,5876.0
2020-07-21,5876.0
2020-07-22,5876.0
2020-07-23,5876.0
2020-07-24,5850.0
2020-07-27,5912.0
2020-07-28,5912.0
2020-07-29,5894.0
2020-07-30,5904.0
2020-07-31,5748.0
2020-08-03,5748.0
2020-08-04,5748.0
2020-08-05,5748.0
2020-08-06,5748.0
2020-08-07,5748.0
2020-08-10,5748.0
2020-08-11,5748.0
2020-08-12,5748.0
2020-08-13,5748.0
2020-08-14,5824.0
2020-08-17,5892.0
2020-08-18,5914.0
2020-08-19,5948.0
2020-08-20,5924.0
2020-08-21,5832.0
2020-08-24,5850.0
2020-08-25,5866.0
2020-08-26,5818.0
2020-08-27,5864.0
2020-08-28,5986.0
2020-08-31,6134.0
2020-09-01,6196.0
2020-09-02,6190.0
2020-09-03,6370.0
2020-09-04,6300.0
2020-09-07,6200.0
2020-09-08,6512.0
2020-09-09,6488.0
2020-09-10,6488.0
2020-09-11,6488.0
2020-09-14,6174.0
2020-09-15,6264.0
2020-09-16,6334.0
2020-09-17,6468.0
2020-09-18,6560.0
2020-09-21,6686.0
2020-09-22,6580.0
2020-09-23,6452.0
2020-09-24,6348.0
2020-09-25,6332.0
2020-09-28,6362.0
2020-09-29,6466.0
2020-09-30,6308.0
2020-10-01,6308.0
2020-10-02,6308.0
2020-10-05,6308.0
2020-10-06,6308.0
2020-10-07,6308.0
2020-10-08,6308.0
2020-10-09,6308.0
2020-10-12,6308.0
2020-10-13,6308.0
2020-10-14,6308.0
2020-10-15,6308.0
2020-10-16,6308.0
2020-10-19,6308.0
2020-10-20,6308.0
2020-10-21,6308.0
2020-10-22,6412.0
2020-10-23,6484.0
2020-10-26,6476.0
2020-10-27,6470.0
2020-10-28,6482.0
2020-10-29,6616.0
2020-10-30,6872.0
2020-11-02,7100.0
2020-11-03,7100.0
2020-11-04,7100.0
2020-11-05,7100.0
2020-11-06,7100.0
2020-11-09,7100.0
2020-11-10,7100.0
2020-11-11,7100.0
2020-11-12,7100.0
2020-11-13,6624.0
2020-11-16,6656.0
2020-11-17,6754.0
2020-11-18,6786.0
2020-11-19,6908.0
2020-11-20,6880.0
2020-11-23,6646.0
2020-11-24,6564.0
2020-11-25,6656.0
2020-11-26,6656.0
2020-11-27,6646.0
2020-11-30,6564.0
2020-12-01,6558.0
2020-12-02,6590.0
2020-12-03,6388.0
2020-12-04,6388.0
2020-12-07,6588.0
2020-12-08,6588.0
2020-12-09,6588.0
2020-12-10,6588.0
2020-12-11,6684.0
2020-12-14,6870.0
2020-12-15,6932.0
2020-12-16,6972.0
2020-12-17,6996.0
2020-12-18,7020.0
2020-12-21,7072.0
2020-12-22,6986.0
2020-12-23,6966.0
2020-12-24,7250.0
2020-12-25,7386.0
2020-12-28,7312.0
2020-12-29,7212.0
2020-12-30,7280.0
