mm,dd,unit,price,yyyy,prod_spec,region,prod_name,date,price_numeric
10,30,元/吨,1731.82,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-30,1731.82
10,29,元/吨,1711.32,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-29,1711.32
10,28,元/吨,1702.82,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-28,1702.82
10,27,元/吨,1694.83,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-27,1694.83
10,24,元/吨,1697.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-24,1697.33
10,23,元/吨,1665.83,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-23,1665.83
10,22,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-22,1600.33
10,21,元/吨,1599.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-21,1599.84
10,20,元/吨,1599.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-20,1599.84
10,17,元/吨,1599.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-17,1599.84
10,16,元/吨,1599.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-16,1599.84
10,15,元/吨,1599.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-15,1599.84
10,14,元/吨,1599.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-14,1599.84
10,13,元/吨,1599.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-13,1599.84
10,10,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-10,1600.33
10,09,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-09,1600.33
10,08,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-08,1600.33
10,07,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-07,1600.33
10,06,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-06,1600.33
10,03,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-03,1600.33
10,02,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-02,1600.33
10,01,元/吨,1600.33,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-10-01,1600.33
09,30,元/吨,1586.84,2025,大连商品交易所最近合约收盘价,国内,焦炭,2025-09-30,1586.84
