date,price
2020-01-02,1951.0
2020-01-03,1960.0
2020-01-06,1962.0
2020-01-07,1962.0
2020-01-08,1965.0
2020-01-09,1962.0
2020-01-10,1942.0
2020-01-13,1928.5
2020-01-14,1937.0
2020-01-15,1953.0
2020-01-16,1953.0
2020-01-17,1953.0
2020-01-20,1953.0
2020-01-21,1962.5
2020-01-22,1856.0
2020-01-23,1856.0
2020-01-24,1856.0
2020-01-27,1856.0
2020-01-28,1856.0
2020-01-29,1856.0
2020-01-30,1856.0
2020-01-31,1856.0
2020-02-03,1856.0
2020-02-04,1856.0
2020-02-05,1856.0
2020-02-06,1856.0
2020-02-07,1856.0
2020-02-10,1856.0
2020-02-11,1856.0
2020-02-12,1856.0
2020-02-13,1856.0
2020-02-14,1947.0
2020-02-17,1947.0
2020-02-18,1888.0
2020-02-19,1888.0
2020-02-20,1888.0
2020-02-21,1888.0
2020-02-24,1888.0
2020-02-25,1888.0
2020-02-26,1888.0
2020-02-27,1888.0
2020-02-28,1888.0
2020-03-02,1888.0
2020-03-03,1888.0
2020-03-04,1888.0
2020-03-05,1888.0
2020-03-06,1888.0
2020-03-09,1888.0
2020-03-10,1888.0
2020-03-11,1888.0
2020-03-12,1888.0
2020-03-13,1888.0
2020-03-16,1888.0
2020-03-17,1888.0
2020-03-18,1888.0
2020-03-19,1838.5
2020-03-20,1894.5
2020-03-23,1894.5
2020-03-24,1894.5
2020-03-25,1894.5
2020-03-26,1894.5
2020-03-27,1894.5
2020-03-30,1821.0
2020-03-31,1821.0
2020-04-01,1821.0
2020-04-02,1821.0
2020-04-03,1821.0
2020-04-06,1821.0
2020-04-07,1821.0
2020-04-08,1821.0
2020-04-09,1821.0
2020-04-10,1821.0
2020-04-13,1821.0
2020-04-14,1821.0
2020-04-15,1769.0
2020-04-16,1782.0
2020-04-17,1779.5
2020-04-20,1777.0
2020-04-21,1755.5
2020-04-22,1775.5
2020-04-23,1779.5
2020-04-24,1788.0
2020-04-27,1780.0
2020-04-28,1755.0
2020-04-29,1757.0
2020-04-30,1700.0
2020-05-01,1700.0
2020-05-04,1700.0
2020-05-05,1700.0
2020-05-06,1705.0
2020-05-07,1725.5
2020-05-08,1710.0
2020-05-11,1703.0
2020-05-12,1720.0
2020-05-13,1702.0
2020-05-14,1723.5
2020-05-15,1723.5
2020-05-18,1879.0
2020-05-19,1690.0
2020-05-20,1855.0
2020-05-21,1880.5
