mm,dd,unit,price,yyyy,prod_spec,region,prod_name,date,price_numeric
10,30,元/吨,1146.38,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-30,1146.38
10,29,元/吨,1127.38,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-29,1127.38
10,28,元/吨,1132.88,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-28,1132.88
10,27,元/吨,1136.88,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-27,1136.88
10,24,元/吨,1141.38,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-24,1141.38
10,23,元/吨,1124.88,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-23,1124.88
10,22,元/吨,952.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-22,952.9
10,21,元/吨,1055.39,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-21,1055.39
10,20,元/吨,1036.39,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-20,1036.39
10,17,元/吨,959.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-17,959.9
10,16,元/吨,998.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-16,998.9
10,15,元/吨,998.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-15,998.9
10,14,元/吨,950.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-14,950.9
10,13,元/吨,923.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-13,923.9
10,10,元/吨,967.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-10,967.9
10,09,元/吨,953.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-09,953.4
10,08,元/吨,953.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-08,953.4
10,07,元/吨,953.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-07,953.4
10,06,元/吨,953.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-06,953.4
10,03,元/吨,953.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-03,953.4
10,02,元/吨,953.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-02,953.4
10,01,元/吨,953.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-10-01,953.4
09,30,元/吨,978.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-30,978.9
09,29,元/吨,1010.39,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-29,1010.39
09,26,元/吨,1036.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-26,1036.89
09,25,元/吨,1025.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-25,1025.89
09,24,元/吨,1025.39,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-24,1025.39
09,23,元/吨,1018.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-23,1018.89
09,22,元/吨,1035.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-22,1035.89
09,19,元/吨,1029.39,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-19,1029.39
09,18,元/吨,1033.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-18,1033.89
09,17,元/吨,1042.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-17,1042.89
09,16,元/吨,1036.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-16,1036.89
09,15,元/吨,993.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-15,993.4
09,12,元/吨,957.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-12,957.9
09,11,元/吨,977.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-11,977.4
09,10,元/吨,968.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-10,968.9
09,09,元/吨,950.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-09,950.4
09,08,元/吨,929.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-08,929.4
09,05,元/吨,956.40,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-05,956.4
09,04,元/吨,934.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-04,934.9
09,03,元/吨,937.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-03,937.9
09,02,元/吨,946.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-02,946.9
09,01,元/吨,962.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-09-01,962.9
08,29,元/吨,989.90,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-08-29,989.9
08,28,元/吨,1005.39,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-08-28,1005.39
08,27,元/吨,1024.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-08-27,1024.89
08,26,元/吨,1057.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-08-26,1057.89
08,25,元/吨,1062.89,2025,大连商品交易所最近合约收盘价,国内,焦煤,2025-08-25,1062.89
