date,price
2020-01-02,1219.0
2020-01-03,1222.0
2020-01-06,1225.0
2020-01-07,1225.0
2020-01-08,1238.0
2020-01-09,1240.0
2020-01-10,1237.0
2020-01-13,1230.5
2020-01-14,1230.0
2020-01-15,1245.0
2020-01-16,1245.0
2020-01-17,1245.0
2020-01-20,1245.0
2020-01-21,1260.0
2020-01-22,1260.0
2020-01-23,1273.0
2020-01-24,1273.0
2020-01-27,1273.0
2020-01-28,1273.0
2020-01-29,1273.0
2020-01-30,1273.0
2020-01-31,1273.0
2020-02-03,1273.0
2020-02-04,1273.0
2020-02-05,1273.0
2020-02-06,1273.0
2020-02-07,1273.0
2020-02-10,1273.0
2020-02-11,1287.0
2020-02-12,1287.0
2020-02-13,1287.0
2020-02-14,1214.0
2020-02-17,1214.0
2020-02-18,1214.0
2020-02-19,1214.0
2020-02-20,1214.0
2020-02-21,1214.0
2020-02-24,1214.0
2020-02-25,1292.0
2020-02-26,1292.0
2020-02-27,1292.0
2020-02-28,1292.0
2020-03-02,1292.0
2020-03-03,1292.0
2020-03-04,1292.0
2020-03-05,1292.0
2020-03-06,1292.0
2020-03-09,1292.0
2020-03-10,1292.0
2020-03-11,1292.0
2020-03-12,1292.0
2020-03-13,1293.5
2020-03-16,1293.5
2020-03-17,1318.0
2020-03-18,1318.0
2020-03-19,1318.0
2020-03-20,1318.0
2020-03-23,1242.0
2020-03-24,1290.0
2020-03-25,1290.0
2020-03-26,1290.0
2020-03-27,1290.0
2020-03-30,1300.0
2020-03-31,1320.0
2020-04-01,1320.0
2020-04-02,1320.0
2020-04-03,1320.0
2020-04-06,1320.0
2020-04-07,1320.0
2020-04-08,1320.0
2020-04-09,1320.0
2020-04-10,1320.0
2020-04-13,1320.0
2020-04-14,1320.0
2020-04-15,1248.5
2020-04-16,1254.0
2020-04-17,1260.0
2020-04-20,1241.0
2020-04-21,1239.5
2020-04-22,1232.5
2020-04-23,1222.5
2020-04-24,1217.0
2020-04-27,1214.5
2020-04-28,1189.0
2020-04-29,1193.0
2020-04-30,1252.0
2020-05-01,1252.0
2020-05-04,1252.0
2020-05-05,1252.0
2020-05-06,1238.0
2020-05-07,1230.0
2020-05-08,1250.0
2020-05-11,1250.0
2020-05-12,1205.0
2020-05-13,1190.0
2020-05-14,1208.0
2020-05-15,1225.0
2020-05-18,1259.5
2020-05-19,1210.0
2020-05-20,1212.5
2020-05-21,1219.0
2020-05-22,1208.5
2020-05-25,1208.5
2020-05-26,1230.5
2020-05-27,1230.5
2020-05-28,1185.0
2020-05-29,1185.0
2020-06-01,1185.0
2020-06-02,1185.0
2020-06-03,1185.0
2020-06-04,1185.0
2020-06-05,1185.0
2020-06-08,1185.0
2020-06-09,1185.0
2020-06-11,1185.0
2020-06-12,1225.0
2020-06-15,1225.0
2020-06-16,1225.0
2020-06-17,1225.0
2020-06-18,1266.0
2020-06-19,1266.0
2020-06-22,1266.0
2020-06-23,1238.5
2020-06-24,1245.5
2020-06-25,1245.5
2020-06-26,1245.5
2020-06-29,1245.5
2020-06-30,1245.5
2020-07-01,1245.5
2020-07-02,1245.5
2020-07-03,1245.5
2020-07-06,1245.5
2020-07-07,1255.5
2020-07-08,1255.5
2020-07-09,1255.5
2020-07-10,1255.5
2020-07-13,1255.5
2020-07-14,1212.5
2020-07-15,1212.5
2020-07-16,1212.5
2020-07-17,1212.5
2020-07-20,1212.5
2020-07-21,1212.5
2020-07-22,1212.5
2020-07-23,1212.5
2020-07-24,1296.0
2020-07-27,1356.5
2020-07-28,1356.5
2020-07-29,1288.0
2020-07-30,1265.0
2020-07-31,1265.0
2020-08-03,1265.0
2020-08-04,1265.0
2020-08-05,1265.0
2020-08-06,1265.0
2020-08-07,1265.0
2020-08-10,1265.0
2020-08-11,1254.0
2020-08-12,1254.0
2020-08-13,1254.0
2020-08-14,1194.0
2020-08-17,1194.0
2020-08-18,1204.5
2020-08-19,1185.0
2020-08-20,1214.5
2020-08-21,1217.5
2020-08-24,1210.5
2020-08-25,1220.5
2020-08-26,1226.0
2020-08-27,1233.5
2020-08-28,1231.5
2020-08-31,1231.0
2020-09-01,1229.0
