mm,dd,unit,price,yyyy,prod_spec,region,prod_name,date,price_numeric
10,30,元/吨,3048.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-30,3048.69
10,29,元/吨,3042.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-29,3042.69
10,28,元/吨,3033.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-28,3033.69
10,27,元/吨,3009.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-27,3009.69
10,24,元/吨,2984.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-24,2984.7
10,23,元/吨,3003.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-23,3003.69
10,22,元/吨,2996.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-22,2996.7
10,21,元/吨,2989.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-21,2989.7
10,20,元/吨,2996.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-20,2996.7
10,17,元/吨,2984.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-17,2984.7
10,16,元/吨,2970.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-16,2970.7
10,15,元/吨,2953.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-15,2953.7
10,14,元/吨,2974.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-14,2974.7
10,13,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-13,2997.7
10,10,元/吨,3021.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-10,3021.69
10,09,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-09,2997.7
10,08,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-08,2997.7
10,07,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-07,2997.7
10,06,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-06,2997.7
10,03,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-03,2997.7
10,02,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-02,2997.7
10,01,元/吨,2997.70,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-10-01,2997.7
09,30,元/吨,3000.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-09-30,3000.69
09,29,元/吨,3015.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-09-29,3015.69
09,26,元/吨,3049.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-09-26,3049.69
09,25,元/吨,3071.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-09-25,3071.69
09,24,元/吨,3065.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-09-24,3065.69
09,23,元/吨,3073.69,2025,上海期货交易所最近合约收盘价,国内,螺纹钢,2025-09-23,3073.69
