date,price
2020-01-02,3760.0
2020-01-03,3747.0
2020-01-06,3755.0
2020-01-07,3755.0
2020-01-08,3748.0
2020-01-09,3764.0
2020-01-10,3848.0
2020-01-13,3837.0
2020-01-14,3884.0
2020-01-15,3685.0
2020-01-16,3682.0
2020-01-17,3686.0
2020-01-20,3699.0
2020-01-21,3685.0
2020-01-22,3665.0
2020-01-23,3626.0
2020-01-24,3626.0
2020-01-27,3626.0
2020-01-28,3626.0
2020-01-29,3626.0
2020-01-30,3626.0
2020-01-31,3626.0
2020-02-03,3374.0
2020-02-04,3352.0
2020-02-05,3372.0
2020-02-06,3368.0
2020-02-07,3368.0
2020-02-10,3380.0
2020-02-11,3380.0
2020-02-12,3380.0
2020-02-13,3380.0
2020-02-14,3378.0
2020-02-17,3387.0
2020-02-18,3385.0
2020-02-19,3374.0
2020-02-20,3399.0
2020-02-21,3423.0
2020-02-24,3451.0
2020-02-25,3473.0
2020-02-26,3461.0
2020-02-27,3458.0
2020-02-28,3390.0
2020-03-02,3417.0
2020-03-03,3431.0
2020-03-04,3457.0
2020-03-05,3471.0
2020-03-06,3466.0
2020-03-09,3437.0
2020-03-10,3465.0
2020-03-11,3452.0
2020-03-12,3486.0
2020-03-13,3452.0
2020-03-16,3526.0
2020-03-17,3512.0
2020-03-18,3510.0
2020-03-19,3432.0
2020-03-20,3440.0
2020-03-23,3392.0
2020-03-24,3380.0
2020-03-25,3422.0
2020-03-26,3445.0
2020-03-27,3438.0
2020-03-30,3393.0
2020-03-31,3431.0
2020-04-01,3351.0
2020-04-02,3300.0
2020-04-03,3351.0
2020-04-06,3351.0
2020-04-07,3322.0
2020-04-08,3323.0
2020-04-09,3326.0
2020-04-10,3450.0
2020-04-13,3450.0
2020-04-14,3470.0
2020-04-15,3528.0
2020-04-16,3533.0
2020-04-17,3556.0
2020-04-20,3541.0
2020-04-21,3503.0
2020-04-22,3506.0
2020-04-23,3525.0
2020-04-24,3512.0
2020-04-27,3517.0
2020-04-28,3492.0
2020-04-29,3490.0
2020-04-30,3506.0
2020-05-01,3506.0
2020-05-04,3506.0
2020-05-05,3506.0
2020-05-06,3544.0
2020-05-07,3574.0
2020-05-08,3575.0
2020-05-11,3460.0
2020-05-12,3400.0
