mm,dd,unit,price,yyyy,prod_spec,region,prod_name,date,price_numeric
10,30,元/吨,8101.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-30,8101.18
10,29,元/吨,8025.19,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-29,8025.19
10,28,元/吨,8143.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-28,8143.18
10,27,元/吨,8165.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-27,8165.18
10,24,元/吨,8151.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-24,8151.18
10,23,元/吨,8179.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-23,8179.18
10,22,元/吨,8213.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-22,8213.17
10,21,元/吨,8293.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-21,8293.17
10,20,元/吨,8291.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-20,8291.17
10,17,元/吨,8271.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-17,8271.17
10,16,元/吨,8247.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-16,8247.17
10,15,元/吨,8245.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-15,8245.17
10,14,元/吨,8271.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-14,8271.17
10,13,元/吨,8283.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-13,8283.17
10,10,元/吨,8325.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-10,8325.16
10,09,元/吨,8289.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-09,8289.17
10,08,元/吨,8289.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-08,8289.17
10,07,元/吨,8289.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-07,8289.17
10,06,元/吨,8289.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-06,8289.17
10,03,元/吨,8289.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-03,8289.17
10,02,元/吨,8289.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-02,8289.17
10,01,元/吨,8289.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-10-01,8289.17
09,30,元/吨,8127.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-30,8127.18
09,29,元/吨,8165.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-29,8165.18
09,26,元/吨,8201.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-26,8201.17
09,25,元/吨,8187.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-25,8187.18
09,24,元/吨,8099.19,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-24,8099.19
09,23,元/吨,8127.18,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-23,8127.18
09,22,元/吨,8375.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-22,8375.16
09,19,元/吨,8349.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-19,8349.16
09,18,元/吨,8307.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-18,8307.16
09,17,元/吨,8439.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-17,8439.15
09,16,元/吨,8445.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-16,8445.15
09,15,元/吨,8383.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-15,8383.16
09,12,元/吨,8397.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-12,8397.16
09,11,元/吨,8267.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-11,8267.17
09,10,元/吨,8413.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-10,8413.15
09,09,元/吨,8285.17,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-09,8285.17
09,08,元/吨,8419.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-08,8419.15
09,05,元/吨,8419.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-05,8419.15
09,04,元/吨,8409.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-04,8409.15
09,03,元/吨,8455.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-03,8455.15
09,02,元/吨,8409.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-02,8409.15
09,01,元/吨,8399.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-09-01,8399.16
08,29,元/吨,8413.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-29,8413.15
08,28,元/吨,8451.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-28,8451.15
08,27,元/吨,8491.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-27,8491.15
08,26,元/吨,8553.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-26,8553.14
08,25,元/吨,8513.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-25,8513.14
08,22,元/吨,8469.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-22,8469.15
08,21,元/吨,8439.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-21,8439.15
08,20,元/吨,8445.15,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-20,8445.15
08,19,元/吨,8579.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-19,8579.14
08,18,元/吨,8595.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-18,8595.14
08,15,元/吨,8537.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-15,8537.14
08,14,元/吨,8349.16,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-14,8349.16
08,13,元/吨,9385.06,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-13,9385.06
08,12,元/吨,9147.08,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-12,9147.08
08,11,元/吨,8635.13,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-11,8635.13
08,08,元/吨,8585.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-08,8585.14
08,07,元/吨,8513.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-07,8513.14
08,06,元/吨,8513.14,2025,大连商品交易所最近合约收盘价,国内,豆油（大连期结）,2025-08-06,8513.14
