date,price
2020-01-02,6658.0
2020-01-03,6756.0
2020-01-06,6800.0
2020-01-07,6800.0
2020-01-08,6766.0
2020-01-09,6864.0
2020-01-10,7000.0
2020-01-13,6590.0
2020-01-14,6590.0
2020-01-15,6758.0
2020-01-16,6664.0
2020-01-17,6664.0
2020-01-20,6632.0
2020-01-21,6514.0
2020-01-22,6514.0
2020-01-23,6514.0
2020-01-24,6514.0
2020-01-27,6514.0
2020-01-28,6514.0
2020-01-29,6514.0
2020-01-30,6514.0
2020-01-31,6514.0
2020-02-03,6060.0
2020-02-04,6126.0
2020-02-05,6180.0
2020-02-06,6184.0
2020-02-07,6184.0
2020-02-10,6186.0
2020-02-11,6160.0
2020-02-12,5950.0
2020-02-13,5846.0
2020-02-14,5920.0
2020-02-17,5920.0
2020-02-18,5744.0
2020-02-19,5798.0
2020-02-20,5798.0
2020-02-21,5798.0
2020-02-24,5850.0
2020-02-25,5850.0
2020-02-26,5618.0
2020-02-27,5618.0
2020-02-28,5618.0
2020-03-02,5282.0
2020-03-03,5282.0
2020-03-04,5282.0
2020-03-05,5282.0
2020-03-06,5282.0
2020-03-09,5282.0
2020-03-10,5282.0
2020-03-11,5282.0
2020-03-12,5282.0
2020-03-13,5196.0
2020-03-16,5256.0
2020-03-17,5212.0
2020-03-18,5272.0
2020-03-19,5286.0
2020-03-20,5380.0
2020-03-23,5404.0
2020-03-24,5484.0
2020-03-25,5536.0
2020-03-26,5512.0
2020-03-27,5440.0
2020-03-30,5490.0
2020-03-31,5460.0
2020-04-01,5380.0
2020-04-02,5350.0
2020-04-03,5378.0
2020-04-06,5378.0
2020-04-07,5460.0
2020-04-08,5508.0
2020-04-09,5632.0
2020-04-10,5672.0
2020-04-13,5716.0
2020-04-14,5596.0
2020-04-15,5604.0
2020-04-16,5664.0
2020-04-17,5608.0
2020-04-20,5580.0
2020-04-21,5412.0
2020-04-22,5404.0
2020-04-23,5472.0
2020-04-24,5496.0
2020-04-27,5450.0
2020-04-28,5420.0
2020-04-29,5418.0
2020-04-30,5422.0
2020-05-01,5422.0
2020-05-04,5422.0
2020-05-05,5422.0
2020-05-06,5384.0
2020-05-07,5392.0
2020-05-08,5480.0
2020-05-11,5410.0
2020-05-12,5426.0
2020-05-13,5426.0
2020-05-14,5396.0
2020-05-15,5396.0
2020-05-18,5396.0
2020-05-19,5448.0
2020-05-20,5448.0
2020-05-21,5448.0
2020-05-22,5448.0
2020-05-25,5448.0
2020-05-26,5470.0
2020-05-27,5532.0
2020-05-28,5590.0
2020-05-29,5590.0
2020-06-01,5590.0
2020-06-02,5590.0
2020-06-03,5590.0
2020-06-04,5590.0
2020-06-05,5600.0
2020-06-08,5750.0
2020-06-09,5776.0
2020-06-11,5798.0
2020-06-12,5822.0
2020-06-15,5786.0
2020-06-16,5718.0
2020-06-17,5718.0
2020-06-18,5718.0
2020-06-19,5782.0
2020-06-22,5764.0
2020-06-23,5764.0
2020-06-24,5764.0
2020-06-25,5764.0
2020-06-26,5764.0
2020-06-29,5764.0
2020-06-30,5536.0
2020-07-01,5398.0
2020-07-02,5398.0
2020-07-03,5398.0
2020-07-06,5398.0
2020-07-07,5398.0
2020-07-08,5398.0
2020-07-09,5398.0
2020-07-10,5398.0
2020-07-13,5398.0
2020-07-14,5778.0
2020-07-15,6038.0
2020-07-16,6038.0
2020-07-17,6176.0
2020-07-20,6390.0
2020-07-21,6192.0
2020-07-22,6560.0
2020-07-23,6230.0
2020-07-24,6230.0
2020-07-27,6494.0
2020-07-28,6494.0
2020-07-29,6082.0
2020-07-30,6082.0
2020-07-31,6086.0
2020-08-03,6086.0
2020-08-04,6086.0
2020-08-05,6086.0
2020-08-06,6086.0
2020-08-07,6086.0
2020-08-10,6086.0
2020-08-11,6086.0
2020-08-12,6086.0
2020-08-13,6086.0
2020-08-14,6408.0
2020-08-17,6454.0
2020-08-18,6502.0
2020-08-19,6556.0
2020-08-20,6470.0
2020-08-21,6398.0
2020-08-24,6388.0
2020-08-25,6418.0
2020-08-26,6384.0
2020-08-27,6456.0
2020-08-28,6588.0
2020-08-31,6648.0
2020-09-01,6630.0
2020-09-02,6660.0
2020-09-03,6742.0
2020-09-04,6742.0
2020-09-07,6742.0
2020-09-08,6870.0
2020-09-09,6776.0
2020-09-10,6772.0
2020-09-11,6780.0
2020-09-14,6910.0
2020-09-15,6992.0
2020-09-16,6992.0
2020-09-17,7158.0
2020-09-18,7324.0
2020-09-21,7426.0
2020-09-22,7310.0
2020-09-23,7202.0
2020-09-24,7044.0
2020-09-25,6966.0
2020-09-28,7026.0
2020-09-29,6974.0
2020-09-30,6836.0
2020-10-01,6836.0
2020-10-02,6836.0
2020-10-05,6836.0
2020-10-06,6836.0
2020-10-07,6836.0
2020-10-08,6836.0
2020-10-09,7060.0
2020-10-12,7250.0
2020-10-13,7258.0
2020-10-14,7248.0
2020-10-15,7234.0
2020-10-16,7066.0
2020-10-19,7072.0
2020-10-20,6946.0
2020-10-21,7000.0
2020-10-22,7118.0
2020-10-23,7206.0
2020-10-26,7332.0
2020-10-27,7374.0
2020-10-28,7382.0
2020-10-29,7284.0
2020-10-30,7336.0
2020-11-02,7274.0
2020-11-03,7274.0
2020-11-04,7782.0
2020-11-05,7782.0
2020-11-06,7782.0
2020-11-09,7782.0
2020-11-10,7782.0
2020-11-11,7782.0
2020-11-12,7782.0
2020-11-13,7594.0
2020-11-16,7750.0
2020-11-17,7794.0
2020-11-18,7852.0
2020-11-19,7956.0
2020-11-20,7998.0
2020-11-23,7868.0
2020-11-24,7732.0
2020-11-25,7780.0
2020-11-26,7800.0
2020-11-27,7828.0
2020-11-30,7940.0
2020-12-01,7798.0
2020-12-02,7798.0
2020-12-03,7798.0
2020-12-04,7798.0
2020-12-07,7798.0
2020-12-08,7798.0
2020-12-09,7798.0
2020-12-10,7798.0
2020-12-11,7798.0
2020-12-14,7952.0
2020-12-15,7994.0
2020-12-16,8028.0
2020-12-17,8112.0
2020-12-18,8296.0
2020-12-21,8404.0
2020-12-22,8326.0
2020-12-23,8344.0
2020-12-24,8622.0
2020-12-25,8698.0
2020-12-28,8644.0
2020-12-29,8562.0
2020-12-30,8610.0
2020-12-31,8650.0
2021-01-04,8802.0
2021-01-05,8786.0
2021-01-06,8817.11
2021-01-07,8829.11
2021-01-08,8829.11
2021-01-11,8875.11
2021-01-12,8701.12
2021-01-13,8697.13
2021-01-14,8697.13
2021-01-15,8171.18
2021-01-18,8125.18
2021-01-19,8123.18
2021-01-20,8035.19
2021-01-21,7977.2
2021-01-22,7975.2
2021-01-25,7905.2
2021-01-26,8025.19
2021-01-27,8207.17
2021-01-28,8273.17
2021-01-29,8287.17
2021-02-01,8307.16
2021-02-02,8173.18
2021-02-03,8025.19
2021-02-04,8027.19
2021-02-05,8139.18
2021-02-08,8205.17
2021-02-09,8349.16
2021-02-10,8427.15
2021-02-11,8427.15
2021-02-12,8427.15
2021-02-15,8427.15
2021-02-16,8427.15
2021-02-17,8427.15
2021-02-18,8557.14
