mm,dd,unit,price,yyyy,prod_spec,region,prod_name,date,price_numeric
10,30,美分/磅,49.64,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-30,49.64
10,29,美分/磅,50.15,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-29,50.15
10,28,美分/磅,50.25,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-28,50.25
10,27,美分/磅,50.76,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-27,50.76
10,24,美分/磅,50.26,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-24,50.26
10,23,美分/磅,50.86,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-23,50.86
10,22,美分/磅,50.06,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-22,50.06
10,21,美分/磅,50.64,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-21,50.64
10,20,美分/磅,51.30,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-20,51.3
10,17,美分/磅,51.12,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-17,51.12
10,16,美分/磅,50.86,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-16,50.86
10,15,美分/磅,50.79,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-15,50.79
10,14,美分/磅,49.91,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-14,49.91
10,13,美分/磅,50.03,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-13,50.03
10,10,美分/磅,49.39,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-10,49.39
10,09,美分/磅,50.37,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-09,50.37
10,08,美分/磅,50.96,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-08,50.96
10,07,美分/磅,50.52,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-07,50.52
10,06,美分/磅,49.78,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-06,49.78
10,03,美分/磅,49.42,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-03,49.42
10,02,美分/磅,49.81,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-02,49.81
10,01,美分/磅,49.74,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-10-01,49.74
09,30,美分/磅,48.86,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-09-30,48.86
09,29,美分/磅,49.10,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-09-29,49.1
09,26,美分/磅,49.59,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-09-26,49.59
09,25,美分/磅,49.73,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-09-25,49.73
09,24,美分/磅,49.28,2025,芝加哥商品交易所最近期货收盘价,国际,豆油（CBT）,2025-09-24,49.28
