date,price
2020-01-02,34.97
2020-01-03,34.81
2020-01-06,34.24
2020-01-07,34.24
2020-01-08,34.46
2020-01-09,34.35
2020-01-10,34.07
2020-01-13,33.64
2020-01-14,33.65
2020-01-15,33.3
2020-01-16,33.03
2020-01-17,33.35
2020-01-20,33.35
2020-01-21,32.75
2020-01-22,33.02
2020-01-23,32.48
2020-01-24,32.02
2020-01-27,31.52
2020-01-28,31.46
2020-01-29,31.52
2020-01-30,30.63
2020-01-31,29.94
2020-02-03,30.29
2020-02-04,30.73
2020-02-05,31.32
2020-02-06,31.24
2020-02-07,30.97
2020-02-10,30.62
2020-02-11,30.72
2020-02-12,31.03
2020-02-13,30.72
2020-02-14,30.57
2020-02-17,30.57
2020-02-18,30.48
2020-02-19,30.34
2020-02-20,30.12
2020-02-21,30.64
2020-02-24,29.49
2020-02-25,29.23
2020-02-26,29.07
2020-02-27,28.83
2020-02-28,28.31
2020-03-02,28.57
2020-03-03,28.84
2020-03-04,29.44
2020-03-05,29.1
2020-03-06,28.48
2020-03-09,27.31
2020-03-10,27.44
2020-03-11,27.3
2020-03-12,26.15
2020-03-13,26.37
2020-03-16,24.99
2020-03-17,25.24
2020-03-18,25.04
2020-03-19,25.48
2020-03-20,25.64
2020-03-23,26.14
2020-03-24,26.55
2020-03-25,26.64
2020-03-26,26.5
2020-03-27,26.85
2020-03-30,26.87
2020-03-31,27.01
2020-04-01,26.05
2020-04-02,26.24
2020-04-03,26.43
2020-04-06,26.83
2020-04-07,27.48
2020-04-08,27.18
2020-04-10,27.41
2020-04-13,26.97
2020-04-14,26.67
2020-04-15,26.5
2020-04-16,26.3
2020-04-17,26.29
2020-04-20,25.98
2020-04-21,25.35
2020-04-22,25.7
2020-04-23,25.78
2020-04-24,25.05
2020-04-27,24.99
2020-04-28,25.3
2020-04-29,25.78
2020-04-30,26.23
2020-05-01,26.14
2020-05-04,25.8
2020-05-05,25.97
2020-05-06,25.52
2020-05-07,25.94
2020-05-08,26.23
2020-05-11,26.19
2020-05-12,25.98
2020-05-13,25.63
2020-05-14,25.92
2020-05-15,26.67
2020-05-18,27.32
2020-05-19,27.04
2020-05-20,27.3
2020-05-21,27.11
2020-05-22,26.64
2020-05-25,26.96
2020-05-26,27.24
2020-05-27,27.64
2020-05-28,27.29
2020-05-29,27.42
2020-06-01,27.6
2020-06-02,27.94
2020-06-03,27.72
2020-06-04,27.8
2020-06-05,28.18
2020-06-08,28.06
2020-06-09,28.27
2020-06-11,27.5
2020-06-12,27.5
2020-06-15,27.74
2020-06-16,27.97
2020-06-17,28.1
2020-06-18,28.11
2020-06-19,28.52
2020-06-22,28.35
2020-06-23,28.17
2020-06-24,27.61
2020-06-25,27.54
2020-06-26,27.2
2020-06-29,27.62
2020-06-30,27.93
2020-07-01,28.21
2020-07-02,27.96
2020-07-03,27.96
2020-07-06,28.42
2020-07-07,28.42
2020-07-08,28.46
2020-07-09,28.19
2020-07-10,28.11
2020-07-13,27.97
2020-07-14,28.48
