mm,dd,unit,price,yyyy,prod_spec,region,prod_name,date,price_numeric
10,30,美分/磅,173.00,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-30,173.0
10,29,美分/磅,171.48,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-29,171.48
10,28,美分/磅,171.03,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-28,171.03
10,27,美分/磅,171.03,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-27,171.03
10,24,美分/磅,171.23,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-24,171.23
10,23,美分/磅,171.00,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-23,171.0
10,22,美分/磅,171.35,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-22,171.35
10,21,美分/磅,171.35,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-21,171.35
10,20,美分/磅,171.83,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-20,171.83
10,17,美分/磅,171.58,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-17,171.58
10,16,美分/磅,169.75,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-16,169.75
10,15,美分/磅,171.98,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-15,171.98
10,14,美分/磅,172.83,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-14,172.83
10,13,美分/磅,170.98,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-13,170.98
10,10,美分/磅,170.98,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-10,170.98
10,09,美分/磅,171.98,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-09,171.98
10,08,美分/磅,177.28,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-08,177.28
10,07,美分/磅,177.80,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-07,177.8
10,06,美分/磅,179.05,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-06,179.05
10,03,美分/磅,180.98,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-03,180.98
10,02,美分/磅,180.98,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-02,180.98
10,01,美分/磅,181.20,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-10-01,181.2
09,30,美分/磅,204.60,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-30,204.6
09,29,美分/磅,204.62,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-29,204.62
09,26,美分/磅,204.42,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-26,204.42
09,25,美分/磅,204.87,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-25,204.87
09,24,美分/磅,210.97,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-24,210.97
09,23,美分/磅,210.97,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-23,210.97
09,22,美分/磅,210.97,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-22,210.97
09,19,美分/磅,211.07,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-19,211.07
09,18,美分/磅,212.05,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-18,212.05
09,17,美分/磅,213.47,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-17,213.47
09,16,美分/磅,213.47,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-16,213.47
09,15,美分/磅,213.75,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-15,213.75
09,12,美分/磅,214.47,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-12,214.47
09,11,美分/磅,214.47,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-11,214.47
09,10,美分/磅,217.20,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-10,217.2
09,09,美分/磅,218.97,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-09,218.97
09,08,美分/磅,220.97,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-08,220.97
09,05,美分/磅,221.25,2025,芝加哥商品交易所最近期货收盘价,国际,黄油,2025-09-05,221.25
